,Year_Lobt,Month_Lobt,APT_ICAO,Total_Flights_Period,Total Delay (TD),Total Flights (TF),Avg Delay per Movement (in min),Avg Proportion of Delay (%),Delay_Ratio
0,2024,July,EDDF,14380,295785,25288,20.56919332406119,4.243149075497455,10.344432627014644
1,2024,August,EDDF,14361,242797,23770,16.906691734558873,4.492451274896818,9.736336565125319
2,2024,September,EDDF,14179,213238,23435,15.039001340009872,4.513544783022274,9.722331700153084
3,2023,August,EDDF,14135,291567,21990,20.627308100459864,4.496111025184621,9.151251586591481
4,2023,July,EDDF,13967,246893,21909,17.67688122001862,4.288735817153273,9.227212041829691
5,2024,October,EDDF,14040,202044,21578,14.39059829059829,4.540864612590152,9.04055639349757
6,2023,October,EDDF,14484,222135,20932,15.336578293289145,4.392307929585453,8.501064054453597
7,2023,June,EDDF,13799,236981,20731,17.173780708747014,4.493097234058888,8.837383783138591
8,2023,September,EDDF,12721,208035,20193,16.353667164531092,4.366833767914128,9.33750121383354
9,2024,June,EDDF,12896,223797,19572,17.353985732009924,4.205785569714932,8.927528827908334
10,2024,May,EDDF,13621,169244,18740,12.425225754349903,4.323810054230289,8.093039726719555
11,2024,December,EDDF,11457,178917,18034,15.616391725582611,4.862562101166469,9.259173687804527
12,2024,July,EHAM,16801,252749,17932,15.043687875721682,3.758608213472542,6.278337774012051
13,2024,April,EDDF,13005,166188,17800,12.77877739331027,4.433071393341328,8.051202026369948
14,2023,May,EDDF,13142,160809,17790,12.236265408613598,3.868681957530118,7.962795527585558
15,2023,August,LTFM,17462,230606,17384,13.206161951666479,3.5135357499817155,5.8560773983170185
16,2024,November,EDDF,12152,162300,17216,13.355826201448314,4.567031100553192,8.333656043062387
17,2023,July,EHAM,16431,236943,17128,14.420485667336116,3.9526356993519265,6.1318812717710784
18,2023,December,EDDF,10889,201156,17029,18.47332170079897,4.230650320838405,9.199245866038583
19,2024,September,EHAM,16571,204623,16864,12.348259006698445,3.4682946044418967,5.986361716251283
20,2024,August,EHAM,16964,206085,16524,12.148373025229903,3.9586738917883677,5.729780712096204
21,2024,June,EHAM,16131,208383,16500,12.918169983262041,4.054210224447248,6.016912995438086
22,2023,April,EDDF,12448,150617,16336,12.099694730077118,4.487099852323745,7.7196431271737485
23,2024,October,EHAM,16662,179876,16214,10.79558276317369,3.687034562515669,5.724191008776575
24,2024,August,EDDM,10813,195344,16060,18.065661703505032,3.904751129684098,8.736760217820597
25,2023,November,EDDF,11713,163084,16052,13.923333048749251,4.534451588937632,8.061429984783121
26,2023,March,EDDF,11052,211721,15856,19.156804198335138,4.521918128295261,8.439249749845649
27,2024,July,EDDM,10586,206734,15833,19.529000566786323,3.7570164418309737,8.797968460008224
28,2023,July,LTFM,17042,210554,15700,12.3550052810703,3.5727145157540923,5.419137494218436
29,2023,October,EHAM,15407,213525,15632,13.858960212890251,3.4977343559827814,5.968257362008865
30,2024,August,LTFM,17316,363233,15612,20.976726726726728,4.572352094008683,5.303493538787656
31,2024,September,EDDM,10807,173718,15536,16.074581289904682,3.774654118238076,8.45639264311258
32,2023,September,EHAM,14692,203053,15498,13.820650694255377,3.9640292839922933,6.205057574350186
33,2024,April,EHAM,15638,171491,15220,10.966300038368072,3.849446638257836,5.725119053888341
34,2024,March,EDDF,11525,150513,15090,13.05969631236442,4.663846290424388,7.701926757687891
35,2024,May,EHAM,15953,168073,14915,10.535510562276686,4.05461314682494,5.499610989634995
36,2024,March,EHAM,15733,156032,14780,9.917498252081614,4.220766837202978,5.526039310404134
37,2023,June,EHAM,14538,184020,14488,12.657862154354097,3.9343252884412863,5.862121984575919
38,2024,December,EHAM,15119,156262,14444,10.335471922746216,3.6335284863034043,5.619730529952571
39,2023,September,LTFM,16716,218407,14380,13.065745393634838,3.5895612855213828,5.060315583519841
40,2024,January,EDDF,10164,153908,13847,15.142463597009055,4.539143134541586,8.013866703706276
41,2023,August,EHAM,13961,180327,13802,12.916481627390581,3.964505510233287,5.815359594163573
42,2023,May,EHAM,15040,157837,13777,10.494481382978714,3.6304848758356973,5.388376095118899
43,2024,July,LTFM,17190,264164,13369,15.367306573589298,4.523993706647353,4.574821202477501
44,2024,July,LFPG,15821,345581,13280,21.843183111054937,4.769828623167651,4.937592254523957
45,2024,November,EHAM,14673,149201,13211,10.168404552579569,3.9815494314588316,5.296242398001932
46,2024,October,EDDM,10611,116533,13190,10.98228253698991,3.882862068482958,7.31205685553837
47,2024,September,LTFM,16595,234479,13088,14.1294968363965,4.201125249895276,4.639242861953458
48,2023,November,EHAM,13618,157284,13022,11.549713614333967,3.9397371805244497,5.6249082097224266
49,2024,January,EHAM,14308,159947,12942,11.178850992451764,3.696289844475599,5.320758440362447
