,APT_ICAO,YEAR,MONTH_NUM,FLT_MEAN,FLT_MEAN_DEP,FLT_MEAN_ARR
0,EDDF,2023,1,958.4193548387096,479.96774193548384,478.4516129032258
1,EDDF,2023,2,970.5357142857143,485.35714285714283,485.17857142857144
2,EDDF,2023,3,1036.1290322580646,518.0967741935484,518.0322580645161
3,EDDF,2023,4,1183.4333333333334,591.3333333333334,592.1
4,EDDF,2023,5,1202.1935483870968,600.9354838709677,601.258064516129
5,EDDF,2023,6,1296.0,648.1,647.9
6,EDDF,2023,7,1310.4193548387098,655.2903225806451,655.1290322580645
7,EDDF,2023,8,1287.0645161290322,643.483870967742,643.5806451612904
8,EDDF,2023,9,1322.0333333333333,660.9333333333333,661.1
9,EDDF,2023,10,1313.1612903225807,656.0645161290323,657.0967741935484
10,EDDF,2023,11,1177.0666666666666,588.8,588.2666666666667
11,EDDF,2023,12,1081.5806451612902,539.8064516129032,541.7741935483871
12,EDDF,2024,1,1002.1935483870968,502.258064516129,499.93548387096774
13,EDDF,2024,2,1040.344827586207,520.0,520.3448275862069
14,EDDF,2024,3,1095.9032258064517,547.741935483871,548.1612903225806
15,EDDF,2024,4,1251.6666666666667,625.8666666666667,625.8
16,EDDF,2024,5,1288.9032258064517,644.3225806451613,644.5806451612904
17,EDDF,2024,6,1315.8333333333333,657.9,657.9333333333333
18,EDDF,2024,7,1307.032258064516,653.5483870967741,653.483870967742
19,EDDF,2024,8,1302.0645161290322,650.8709677419355,651.1935483870968
20,EDDF,2024,9,1326.5,663.1666666666666,663.3333333333334
21,EDDF,2024,10,1284.741935483871,642.4193548387096,642.3225806451613
22,EDDF,2024,11,1160.9,580.5333333333333,580.3666666666667
23,EDDF,2024,12,1074.4193548387098,536.0322580645161,538.3870967741935
24,EDDM,2023,1,650.9354838709677,325.80645161290323,325.1290322580645
25,EDDM,2023,2,697.9285714285714,349.07142857142856,348.85714285714283
26,EDDM,2023,3,703.0645161290323,351.741935483871,351.3225806451613
27,EDDM,2023,4,827.6,413.9,413.7
28,EDDM,2023,5,862.9354838709677,431.16129032258067,431.7741935483871
29,EDDM,2023,6,906.9666666666667,453.4,453.56666666666666
30,EDDM,2023,7,899.7096774193549,449.5806451612903,450.1290322580645
31,EDDM,2023,8,903.5483870967741,451.83870967741933,451.7096774193548
32,EDDM,2023,9,971.2,485.3333333333333,485.8666666666667
33,EDDM,2023,10,952.1935483870968,476.5483870967742,475.64516129032256
34,EDDM,2023,11,827.7666666666667,413.46666666666664,414.3
35,EDDM,2023,12,647.7096774193549,323.741935483871,323.96774193548384
36,EDDM,2024,1,695.1935483870968,347.93548387096774,347.258064516129
37,EDDM,2024,2,760.2758620689655,380.37931034482756,379.8965517241379
38,EDDM,2024,3,774.3225806451613,387.16129032258067,387.16129032258067
39,EDDM,2024,4,922.7333333333333,461.03333333333336,461.7
40,EDDM,2024,5,966.6451612903226,483.6774193548387,482.96774193548384
41,EDDM,2024,6,979.1666666666666,489.43333333333334,489.73333333333335
42,EDDM,2024,7,963.741935483871,481.741935483871,482.0
43,EDDM,2024,8,983.9677419354839,491.80645161290323,492.16129032258067
44,EDDM,2024,9,1007.9,504.0,503.9
45,EDDM,2024,10,969.6451612903226,484.96774193548384,484.6774193548387
46,EDDM,2024,11,843.6,421.8,421.8
47,EDDM,2024,12,772.1290322580645,385.35483870967744,386.7741935483871
48,EGKK,2023,1,501.19354838709677,250.38709677419354,250.80645161290323
49,EGKK,2023,2,577.2857142857143,288.67857142857144,288.60714285714283
