,ident,name,latitude_deg,longitude_deg,elevation_ft
0,EDDF,Frankfurt am Main Airport,50.033333,8.570556,364.0
1,EDDM,Munich Airport,48.353802,11.7861,1487.0
2,EGKK,London Gatwick Airport,51.148102,-0.190278,202.0
3,EGLL,London Heathrow Airport,51.4706,-0.461941,83.0
4,EHAM,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0
5,EIDW,Dublin Airport,53.421299,-6.27007,242.0
6,EKCH,Copenhagen Kastrup Airport,55.617900848389,12.656000137329,17.0
7,ENGM,Oslo Gardermoen Airport,60.193901062012,11.100399971008,681.0
8,LEBL,Barcelona International Airport,41.2971,2.07846,12.0
9,LEMD,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,1998.0
10,LEPA,Palma De Mallorca Airport,39.551700592,2.73881006241,27.0
11,LFPG,Charles de Gaulle International Airport,49.012798,2.55,392.0
12,LGAV,Eleftherios Venizelos International Airport,37.9364013672,23.9444999695,308.0
13,LIRF,Leonardo da Vinci–Fiumicino Airport,41.8002778,12.2388889,13.0
14,LOWW,Vienna International Airport,48.110298156738,16.569700241089,600.0
15,LPPT,Humberto Delgado Airport (Lisbon Portela Airport),38.7813,-9.13592,374.0
16,LSZH,Zürich Airport,47.464699,8.54917,1416.0
17,LTAI,Antalya International Airport,36.898701,30.800501,177.0
18,LTFJ,Istanbul Sabiha Gökçen International Airport,40.898602,29.3092,312.0
19,LTFM,Istanbul Airport,41.261297,28.741951,325.0
