APT_ICAO,Year,Month,delay_type
EDDF,2023,01,Equipment (non-ATC)
EDDF,2023,02,Weather
EDDF,2023,03,Weather
EDDF,2023,04,Weather
EDDF,2023,05,Aerodrome Capacity
EDDF,2023,06,Weather
EDDF,2023,07,Weather
EDDF,2023,08,Weather
EDDF,2023,09,Weather
EDDF,2023,10,Weather
EDDF,2023,11,Weather
EDDF,2023,12,Weather
EDDF,2024,01,Weather
EDDF,2024,02,Weather
EDDF,2024,03,Weather
EDDF,2024,04,Weather
EDDF,2024,05,Weather
EDDF,2024,06,Weather
EDDF,2024,07,Weather
EDDF,2024,08,Weather
EDDF,2024,09,Weather
EDDF,2024,10,Weather
EDDF,2024,11,Weather
EDDF,2024,12,Weather
EDDM,2023,01,ATC Capacity
EDDM,2023,02,Special Event
EDDM,2023,03,Weather
EDDM,2023,04,Weather
EDDM,2023,05,Weather
EDDM,2023,06,Weather
EDDM,2023,07,Weather
EDDM,2023,08,Weather
EDDM,2023,09,Weather
EDDM,2023,10,Weather
EDDM,2023,11,Weather
EDDM,2023,12,Weather
EDDM,2024,01,Weather
EDDM,2024,02,Accident/Incident
EDDM,2024,03,Weather
EDDM,2024,04,Weather
EDDM,2024,05,Weather
EDDM,2024,06,Weather
EDDM,2024,07,Weather
EDDM,2024,08,Weather
EDDM,2024,09,Weather
EDDM,2024,10,Weather
EDDM,2024,11,Weather
EDDM,2024,12,Weather
EGKK,2023,01,Weather
EGKK,2023,02,Weather
EGKK,2023,03,Weather
EGKK,2023,04,Aerodrome Capacity
EGKK,2023,05,Aerodrome Capacity
EGKK,2023,06,Aerodrome Capacity
EGKK,2023,07,Aerodrome Capacity
EGKK,2023,08,Aerodrome Capacity
EGKK,2023,09,Aerodrome Capacity
EGKK,2023,10,Aerodrome Capacity
EGKK,2023,11,Aerodrome Capacity
EGKK,2023,12,Weather
EGKK,2024,01,Weather
EGKK,2024,02,Weather
EGKK,2024,03,Weather
EGKK,2024,04,Aerodrome Capacity
EGKK,2024,05,Aerodrome Capacity
EGKK,2024,06,Aerodrome Capacity
EGKK,2024,07,Aerodrome Capacity
EGKK,2024,08,Aerodrome Capacity
EGKK,2024,09,Aerodrome Capacity
EGKK,2024,10,Aerodrome Capacity
EGKK,2024,11,Weather
EGKK,2024,12,Weather
EGLL,2023,01,Weather
EGLL,2023,02,Weather
EGLL,2023,03,Weather
EGLL,2023,04,Weather
EGLL,2023,05,Weather
EGLL,2023,06,Weather
EGLL,2023,07,Weather
EGLL,2023,08,Weather
EGLL,2023,09,Weather
EGLL,2023,10,Weather
EGLL,2023,11,Weather
EGLL,2023,12,Weather
EGLL,2024,01,Weather
EGLL,2024,02,Weather
EGLL,2024,03,Weather
EGLL,2024,04,Weather
EGLL,2024,05,Weather
EGLL,2024,06,ATC Capacity
EGLL,2024,07,ATC Capacity
EGLL,2024,08,ATC Capacity
EGLL,2024,09,Weather
EGLL,2024,10,Weather
EGLL,2024,11,Weather
EGLL,2024,12,Weather
EHAM,2023,01,Weather
EHAM,2023,02,Weather
EHAM,2023,03,Weather
EHAM,2023,04,Aerodrome Capacity
EHAM,2023,05,Weather
EHAM,2023,06,Aerodrome Capacity
EHAM,2023,07,Aerodrome Capacity
EHAM,2023,08,Aerodrome Capacity
EHAM,2023,09,Aerodrome Capacity
EHAM,2023,10,Aerodrome Capacity
EHAM,2023,11,Aerodrome Capacity
EHAM,2023,12,Aerodrome Capacity
EHAM,2024,01,Aerodrome Capacity
EHAM,2024,02,Aerodrome Capacity
EHAM,2024,03,Aerodrome Capacity
EHAM,2024,04,Aerodrome Capacity
EHAM,2024,05,Aerodrome Capacity
EHAM,2024,06,Aerodrome Capacity
EHAM,2024,07,Aerodrome Capacity
EHAM,2024,08,Aerodrome Capacity
EHAM,2024,09,Aerodrome Capacity
EHAM,2024,10,Aerodrome Capacity
EHAM,2024,11,Aerodrome Capacity
EHAM,2024,12,Aerodrome Capacity
EIDW,2023,01,Accident/Incident
EIDW,2023,02,Other
EIDW,2023,03,Equipment (non-ATC)
