,APT_ICAO,FLT_TOT_1,FLT_DEP_1,FLT_ARR_1,APT_NAME,STATE_NAME
0,LTFM,1014869,507380,507489,Istanbul,Türkiye
1,EHAM,947254,473657,473597,Amsterdam - Schiphol,Netherlands
2,EGLL,933098,466473,466625,London - Heathrow,United Kingdom
3,LFPG,921916,460997,460919,Paris-Charles-de-Gaulle,France
4,EDDF,871219,435565,435654,Frankfurt,Germany
5,LEMD,809535,404744,404791,Madrid - Barajas,Spain
6,LEBL,666969,333465,333504,Barcelona,Spain
7,EDDM,624316,312141,312175,Munich,Germany
8,LIRF,582158,291068,291090,Rome - Fiumicino,Italy
9,EGKK,522331,261146,261185,London - Gatwick,United Kingdom
10,LSZH,501228,250557,250671,Zürich,Switzerland
11,LGAV,500606,250196,250410,Athens,Greece
12,EIDW,484530,242252,242278,Dublin,Ireland
13,LOWW,483384,241630,241754,Vienna,Austria
14,LEPA,469767,234875,234892,Palma de Mallorca,Spain
15,EKCH,468009,233946,234063,Copenhagen - Kastrup,Denmark
16,LPPT,455956,228011,227945,Lisbon,Portugal
17,LTFJ,454592,227242,227350,Istanbul Sabiha Gökçen,Türkiye
18,LTAI,447287,223610,223677,Antalya,Türkiye
19,ENGM,435486,217745,217741,Oslo - Gardermoen,Norway
