Year,APT_ICAO,Airline,En_Route,Miscellaneous,Government,Weather
2024,UGTB,18063,3687,3648,6808,2169
2023,UGTB,15431,611,1592,6486,3089
2023,UDYZ,11761,3068,5050,303,213
2024,UDYZ,13071,7319,2579,574,337
2024,LZIB,7172,9053,746,519,1693
2023,LZIB,8294,5074,446,171,1536
2024,LYPG,12108,16768,1971,614,1855
2023,LYPG,13395,8297,5285,894,1953
2023,LYBE,55869,29275,4484,4090,11923
2024,LYBE,139202,171422,11181,13014,21300
2024,LWSK,17901,21047,5278,270,2336
2023,LWSK,13460,13156,5327,549,2568
2024,LUKK,7721,14221,4525,1205,1573
2023,LUKK,5333,4579,493,1528,2548
2024,LTFM,1245907,319605,14731,39107,80434
2023,LTFM,1159965,159492,35401,68650,158099
2024,LTFJ,142016,26289,1477,1200,15095
2023,LTFJ,125119,18530,1544,2689,29190
2024,LTBJ,51427,41462,5218,5145,15148
2023,LTBJ,40566,21336,5849,1754,13266
2023,LTBA,306,0,199,0,0
2024,LTBA,167,0,667,0,36
2024,LTAI,132903,208398,22782,7086,19912
2023,LTAI,126589,120799,14929,6321,14530
2024,LTAC,72379,14734,1408,2546,10864
2023,LTAC,91272,5227,3350,2793,23329
2024,LSZH,385891,178243,28220,56163,84275
2023,LSZH,321470,124558,26433,51344,66226
2024,LSGS,80,0,0,0,0
2023,LSGS,0,0,0,0,0
2024,LSGG,188278,134761,15455,10762,55352
2023,LSGG,147574,137250,16305,12504,34622
2024,LROP,158433,152608,64834,7491,22565
2023,LROP,173411,93250,27487,5046,23418
2023,LRBS,20,72,170,0,0
2024,LRBS,653,513,19,0,12
2024,LQSA,11023,13122,3514,1047,3212
2023,LQSA,6437,5931,1521,653,4568
2024,LPPT,426979,230703,61130,22005,63660
2023,LPPT,511888,222664,56344,22839,34478
2023,LPPS,1011,897,326,0,2703
2024,LPPS,1479,342,811,13,3358
2023,LPPR,108214,102402,7170,7866,20332
2024,LPPR,124905,96008,13359,9794,32405
2023,LPPD,3255,2184,338,71,3015
2024,LPPD,3580,978,583,143,3715
2024,LPMA,21285,16497,1393,1677,13483
2023,LPMA,19025,22920,955,1391,8488
2023,LPFR,63093,59109,4659,3503,3908
2024,LPFR,68939,50226,3722,4123,10831
2023,LPCS,0,0,0,0,0
2023,LPAZ,0,0,0,0,0
2024,LPAZ,2,0,0,0,0
2024,LOWW,329125,284655,90874,30897,54792
2023,LOWW,341873,155393,73265,27766,50457
2023,LOWS,13229,12026,2480,1953,11140
2024,LOWS,16487,14240,2317,2217,7261
2024,LOWL,488,433,14,0,349
2023,LOWL,263,170,16,0,633
2023,LOWK,1595,915,466,62,466
2024,LOWK,684,992,354,18,66
2024,LOWI,4994,4524,1210,361,4869
2023,LOWI,5843,5891,577,497,1761
2023,LOWG,3002,3717,804,72,2676
2024,LOWG,3435,3227,528,89,1829
2024,LMML,83679,78445,32109,5078,7928
2023,LMML,70650,47740,28794,3739,4888
2023,LLBG,303056,68541,21420,27509,8480
2024,LLBG,161836,38099,6723,8866,6790
2023,LKTB,3254,1113,1547,38,617
2024,LKTB,2534,900,1195,33,667
2023,LKPR,71446,62277,16826,6425,23020
2024,LKPR,91737,80564,11150,6530,21972
2023,LKMT,1673,282,1143,7,248
2024,LKMT,1298,1478,1236,47,731
2023,LKKV,0,0,32,0,0
2023,LJMB,155,0,161,0,0
2024,LJMB,0,0,164,0,0
2023,LJLJ,10373,11074,1371,307,3972
2024,LJLJ,14040,13523,1830,273,4996
2023,LIRP,55298,45278,11819,2145,9048
2024,LIRP,57406,74670,8310,2115,14436
2024,LIRN,136668,143832,6110,9627,16240
2023,LIRN,142953,87324,19819,7694,12719
2023,LIRF,502429,190112,39514,43930,28243
2024,LIRF,543071,298430,29201,53673,47576
2023,LIRA,30274,28271,462,1573,1693
2024,LIRA,35474,41258,3722,2222,3093
2023,LIPZ,130385,88545,24941,7587,17609
2024,LIPZ,115517,88471,9431,7678,24923
2023,LIPH,35412,30559,297,1031,2887
2024,LIPH,38636,37469,3223,1078,5930
2023,LIPE,102932,91591,9501,4164,11841
2024,LIPE,88030,109230,5636,5871,16355
2024,LIML,72938,66143,3095,3561,18581
2023,LIML,95279,41094,8332,4576,17083
2024,LIMF,41072,31224,3454,2097,10625
2023,LIMF,41721,20413,12296,2323,6974
2024,LIME,202105,167727,26373,8950,24084
2023,LIME,198444,116596,30763,7075,15584
2024,LIMC,242455,205727,19621,17939,44545
2023,LIMC,294282,158354,29183,17473,32115
2024,LICJ,74782,62399,15993,2994,11145
2023,LICJ,80592,30740,26033,3429,9382
2024,LICC,108516,103937,4006,4813,14748
2023,LICC,105904,36440,11634,4879,5644
2024,LIBR,22848,25661,2012,793,4016
2023,LIBR,21523,12728,12084,561,4495
2023,LHBP,109722,96571,9740,12202,32135
2024,LHBP,129229,181118,22374,10627,35643
2023,LGZA,6936,15004,3255,263,394
2024,LGZA,5388,33108,892,150,915
2023,LGTS,37345,45670,4749,1869,6156
2024,LGTS,43835,63793,3021,1697,7313
2024,LGSR,6004,17169,1675,226,771
2023,LGSR,12714,16313,7829,291,1452
2023,LGSK,4004,3017,104,33,272
2024,LGSK,2381,12052,316,18,369
2024,LGSA,23998,61050,1604,556,1556
2023,LGSA,18392,45942,752,655,1156
2023,LGRP,31548,58033,2735,732,3054
2024,LGRP,40153,108299,2805,1366,2326
2023,LGPZ,2347,4521,133,79,525
2024,LGPZ,3594,8132,493,73,415
2023,LGMK,8560,11736,5011,539,369
2024,LGMK,3382,13327,689,336,681
2024,LGKR,34176,73306,1689,1517,3219
2023,LGKR,27994,41602,3050,2454,2923
2024,LGKO,10995,48960,572,257,769
2023,LGKO,7404,27337,821,365,837
2023,LGKF,2611,7189,586,55,325
2024,LGKF,5285,14129,201,69,662
2024,LGIR,30400,82863,6955,2076,3077
2023,LGIR,22643,52646,14034,1601,1443
2024,LGAV,316052,239091,19284,11986,45090
2023,LGAV,324062,155415,40581,14791,43646
2024,LFTW,5405,4239,2164,292,462
2023,LFTW,4955,5708,3771,340,108
2024,LFTH,203,777,256,8,49
2023,LFTH,987,2062,77,10,239
2023,LFST,10587,5661,13412,563,504
2024,LFST,4276,3193,805,408,1279
2023,LFSL,823,764,428,14,38
2024,LFSL,970,289,778,0,358
2023,LFSB,52070,35453,3888,7461,5504
2024,LFSB,46832,39232,5499,10800,9524
2023,LFRS,63548,38434,29770,2495,7895
2024,LFRS,49250,18293,2842,3825,10195
2023,LFRN,9085,7549,3218,335,2085
2024,LFRN,3892,2764,750,136,1090
2023,LFRK,3755,5838,7496,44,1052
2024,LFRK,711,869,59,163,378
2023,LFRG,834,302,1295,0,0
2024,LFRG,155,166,0,15,0
2023,LFRD,0,0,0,0,0
2023,LFRB,14359,6879,2958,1112,1096
2024,LFRB,9992,2290,420,543,1412
2024,LFQQ,8297,5714,442,495,1316
2023,LFQQ,13993,15017,15790,392,1442
2023,LFPO,233388,181472,27590,17536,19559
2024,LFPO,139656,96322,5451,8208,32859
2023,LFPG,1612797,586235,47982,279471,62562
2024,LFPG,1545717,469643,51891,262074,96908
2023,LFPB,0,0,10,0,0
2024,LFPB,0,0,0,0,0
2023,LFOT,2619,4437,1250,17,190
2024,LFOT,2699,1805,1125,53,712
2023,LFOP,0,0,0,0,0
2023,LFOK,1401,1277,332,87,146
2024,LFOK,2088,1130,69,126,1481
2023,LFOH,56,0,48,12,0
2024,LFOB,60242,64015,3088,9712,13470
2023,LFOB,54865,57645,1496,18084,5258
2023,LFMV,0,0,0,0,0
2024,LFMU,7250,4095,2612,143,154
2023,LFMU,5510,5382,2969,61,52
2024,LFMT,11521,10884,2185,344,1677
2023,LFMT,13651,18583,5829,178,973
2024,LFMP,3884,2749,1589,176,315
2023,LFMP,6598,2002,7472,256,312
2023,LFMN,146434,208556,21923,10464,11182
2024,LFMN,151959,187925,7045,9023,20325
2024,LFML,109341,90494,25794,9208,18658
2023,LFML,115538,116323,42824,9804,18564
2023,LFMK,6096,2922,2980,250,119
2024,LFMK,7594,2842,2103,120,469
2023,LFLY,0,0,0,0,0
2024,LFLX,199,50,937,182,353
2023,LFLX,1097,147,610,0,0
2023,LFLS,4194,3738,41,1437,1312
2024,LFLS,3864,3449,497,133,1190
2023,LFLL,132239,78304,26346,12847,15337
2024,LFLL,99220,49398,4680,10806,22581
2023,LFLC,12167,3070,2973,298,1192
2024,LFLC,11005,2609,1195,393,1657
2023,LFLB,3385,1611,367,1785,1284
2024,LFLB,1905,677,140,435,763
2024,LFKJ,3243,8796,506,473,322
2023,LFKJ,5512,14561,10531,340,625
2024,LFKF,5389,11103,251,192,109
2023,LFKF,6468,17511,6669,129,44
2024,LFKC,1312,5038,425,0,613
2023,LFKC,717,4921,1125,29,374
2023,LFKB,6702,11048,8006,168,940
2024,LFKB,4438,7939,247,13,553
2023,LFJL,425,56,0,36,15
2024,LFJL,241,287,8,334,0
2023,LFGJ,3634,3093,978,84,334
2024,LFGJ,2684,1475,777,138,275
2024,LFCR,194,190,145,0,14
2023,LFCR,315,644,407,14,0
2024,LFBZ,12841,6499,897,661,1049
2023,LFBZ,19125,5625,1288,841,1266
2023,LFBT,7348,3106,5987,232,611
2024,LFBT,3275,1934,488,105,68
2024,LFBP,2865,1134,157,13,883
2023,LFBP,6484,3693,619,23,804
2024,LFBO,84621,35870,2442,5722,11762
2023,LFBO,91820,60557,13135,6166,15599
2024,LFBL,6828,2012,2406,281,624
2023,LFBL,5328,3187,2907,539,409
2023,LFBI,1250,380,938,116,30
2024,LFBI,1618,227,1134,4,296
2024,LFBH,4890,965,1980,116,501
2023,LFBH,2724,1531,1705,241,242
2024,LFBE,3540,1907,2979,84,469
2023,LFBE,3046,3234,1872,184,20
2023,LFBD,69840,36153,12596,6423,9322
2024,LFBD,51987,29279,2522,3137,8967
2024,LEZL,57844,64465,12863,1994,11589
2023,LEZL,51721,30458,9138,1544,6704
2024,LEZG,7779,6355,2815,180,683
2023,LEZG,7486,3802,4670,118,167
2024,LEXJ,5617,3422,4053,261,2925
2023,LEXJ,7910,4783,4582,118,1011
2024,LEVX,6838,669,236,141,823
2023,LEVX,6346,849,123,207,722
2024,LEVT,3149,1172,2793,44,694
2023,LEVT,2331,1676,1702,42,182
2023,LEVD,1395,934,515,8,370
2024,LEVD,1745,817,386,34,304
2023,LEVC,78259,59102,7251,2784,14730
2024,LEVC,82846,92654,7037,3417,15551
2023,LETO,0,0,0,0,0
2024,LETO,0,0,48,0,0
2023,LEST,16111,13020,4694,725,5593
2024,LEST,25176,12793,5249,618,8957
2023,LESO,1609,28,503,0,281
2024,LESO,1114,115,0,0,671
2023,LESA,105,73,257,0,51
2024,LESA,0,0,44,0,0
2023,LERT,18,0,38,0,0
2024,LERT,0,0,28,0,0
2023,LERS,5406,2776,58,187,421
2024,LERS,10604,6858,552,467,416
2023,LERJ,0,0,0,0,0
2023,LEPP,18,0,0,0,29
2024,LEPP,31,9,0,0,0
2024,LEPA,311836,435196,22021,12457,36191
2023,LEPA,267496,306006,25169,11900,15768
2023,LEMO,0,0,37,0,0
2024,LEMO,0,0,0,0,0
2024,LEMI,11368,8624,72,544,608
2023,LEMI,7553,9749,69,304,702
2023,LEMH,13396,19762,3568,672,1506
2024,LEMH,20172,29212,1228,644,3599
2023,LEMG,198835,148260,21875,13174,17042
2024,LEMG,233948,235185,25899,15279,35057
2023,LEMD,392179,113407,22460,25563,29597
2024,LEMD,453445,136271,26574,29321,45190
2024,LELN,9,0,0,0,0
2024,LEJR,6353,6182,1287,63,1485
2023,LEJR,3235,2507,727,75,212
2024,LEIB,54617,81916,13451,3832,9952
2023,LEIB,51635,50447,15566,4328,4531
2024,LEGR,5772,2314,84,54,2829
2023,LEGR,5402,930,161,63,681
2023,LEGE,10549,9400,706,302,251
2024,LEGE,14937,15046,1132,1022,1143
2023,LEDA,17,0,94,0,0
2024,LEDA,305,0,0,0,0
2024,LECO,6620,1142,84,76,1433
2023,LECO,9362,1263,1121,54,853
2023,LEBZ,12,0,146,0,0
2024,LEBZ,12,0,341,0,0
2023,LEBL,396495,223038,48544,20823,38069
2024,LEBL,475452,282324,44035,24248,65846
2024,LEBB,44607,17308,11190,1402,16401
2023,LEBB,43905,18810,8205,1145,12349
2023,LEAS,7230,2982,6923,268,674
2024,LEAS,5486,2008,679,391,2098
2023,LEAM,4080,2478,963,162,807
2024,LEAM,3560,2254,914,162,248
2024,LEAL,139145,169343,26705,8010,13501
2023,LEAL,101245,119830,14515,8642,7656
2023,LEAB,0,0,0,0,0
2024,LEAB,0,0,0,0,0
2023,LDZA,21176,20771,1018,2168,5004
2024,LDZA,28506,27832,1851,3254,7183
2023,LCPH,23152,25068,321,958,313
2024,LCPH,21436,29340,382,999,1951
2023,LCLK,33896,21893,5781,2970,586
2024,LCLK,49016,44523,4868,4259,2384
2023,LBSF,75389,52650,23249,4526,8763
2024,LBSF,81341,88974,22245,3874,12970
2023,LATI,36904,27836,7601,2348,3472
2024,LATI,96248,93578,9296,3354,7270
2024,GMTT,21015,13538,8311,984,1708
2023,GMTT,14529,8635,6968,1149,1027
2023,GMMX,46231,40914,3024,3936,3380
2024,GMMX,55456,54934,4510,5491,7724
